ZETA-WOUT,ZETA-WITH
-47.1,-9.2
-53,-11.6
-50.8,-10.6
-54.4,-8
-57.4,-10.9
-49.2,-10
-51.5,-11
-50.2,-10.7
-46.4,-13.1
-53.8,-11.3
-53.8,-9.9
-53.5,-11.8
-52.2,-12.6
-49.9,-8.9
-51.8,-13.1
-53.7,-10.7
-54.8,-12.1
-54.5,-11.2
-50.6,-9.1
-52.9,-12.1
-51.2,-6.8
-54.5,-11.5
-49.7,-10.4
-50.2,-11.5
-53.2,-12.1
-52.9,-11.3
-52.8,-10.7
-50.2,-11.5
-50.8,-11
-56.1,-7.1
-51,-12.4
-55.6,-11.4
-50.3,-9.9
-57.6,-8.6
-50.1,-13.6
-54.2,-10.1
-55.7,-13
-55,-11.9
-47.4,-8.6
-47.5,-11.3
-52.8,-13
-50.6,-12.2
-55.6,-11.3
-53.2,-10.5
-52.3,-8.8
-49.7,-11.5
-53.3,-10.9
-52.1,-12.4
-50.7,-11.3
-45.7,-13.4
