"Appliances_energy_use_Wh","Temperature_outside_celsius"
60,6.60E+00
60,6.48E+00
50,6.37E+00
50,6.25E+00
60,6.13E+00
50,6.02E+00
60,5.90E+00
60,5.92E+00
60,5.93E+00
70,5.95E+00
230,5.97E+00
580,5.98E+00
430,6.00E+00
250,6.00E+00
100,6.00E+00
100,6.00E+00
90,6.00E+00
70,6.00E+00
80,6.00E+00
140,6.00E+00
120,6.00E+00
190,6.00E+00
110,6.00E+00
110,6.00E+00
110,6.00E+00
110,5.93E+00
100,5.87E+00
100,5.80E+00
100,5.73E+00
100,5.67E+00
110,5.60E+00
400,5.65E+00
400,5.70E+00
390,5.75E+00
240,5.80E+00
60,5.85E+00
60,5.90E+00
60,5.80E+00
50,5.70E+00
70,5.60E+00
60,5.50E+00
40,5.40E+00
40,5.30E+00
30,5.27E+00
40,5.23E+00
50,5.20E+00
310,5.17E+00
380,5.13E+00
380,5.10E+00
370,5.12E+00
120,5.13E+00
50,5.15E+00
40,5.17E+00
50,5.18E+00
40,5.20E+00
50,5.13E+00
50,5.07E+00
50,5.00E+00
40,4.93E+00
40,4.87E+00
30,4.80E+00
20,4.82E+00
20,4.83E+00
40,4.85E+00
50,4.87E+00
50,4.88E+00
40,4.90E+00
50,4.92E+00
40,4.93E+00
40,4.95E+00
40,4.97E+00
60,4.98E+00
50,5.00E+00
50,4.98E+00
40,4.97E+00
40,4.95E+00
40,4.93E+00
40,4.92E+00
50,4.90E+00
70,4.93E+00
40,4.97E+00
30,5.00E+00
20,5.03E+00
30,5.07E+00
40,5.10E+00
50,5.10E+00
60,5.10E+00
60,5.10E+00
70,5.10E+00
60,5.10E+00
140,5.10E+00
110,5.05E+00
90,5.00E+00
60,4.95E+00
60,4.90E+00
60,4.85E+00
50,4.80E+00
60,4.88E+00
50,4.97E+00
30,5.05E+00
40,5.13E+00
30,5.22E+00
260,5.30E+00
500,5.48E+00
450,5.67E+00
50,5.85E+00
60,6.03E+00
60,6.22E+00
50,6.40E+00
50,6.50E+00
50,6.60E+00
60,6.70E+00
60,6.80E+00
60,6.90E+00
60,7.00E+00
190,7.08E+00
220,7.17E+00
170,7.25E+00
390,7.33E+00
90,7.42E+00
60,7.50E+00
290,7.42E+00
130,7.33E+00
140,7.25E+00
240,7.17E+00
50,7.08E+00
60,7.00E+00
60,6.98E+00
60,6.97E+00
370,6.95E+00
200,6.93E+00
70,6.92E+00
50,6.90E+00
40,6.80E+00
40,6.70E+00
30,6.60E+00
30,6.50E+00
30,6.40E+00
30,6.30E+00
40,6.33E+00
50,6.37E+00
40,6.40E+00
40,6.43E+00
40,6.47E+00
60,6.50E+00
60,6.32E+00
210,6.13E+00
380,5.95E+00
370,5.77E+00
230,5.58E+00
80,5.40E+00
90,5.30E+00
70,5.20E+00
40,5.10E+00
40,5.00E+00
30,4.90E+00
50,4.80E+00
50,4.75E+00
60,4.70E+00
50,4.65E+00
60,4.60E+00
60,4.55E+00
60,4.50E+00
50,4.53E+00
50,4.57E+00
50,4.60E+00
50,4.63E+00
50,4.67E+00
60,4.70E+00
60,4.80E+00
40,4.90E+00
30,5.00E+00
30,5.10E+00
30,5.20E+00
40,5.30E+00
50,5.33E+00
50,5.37E+00
50,5.40E+00
40,5.43E+00
50,5.47E+00
40,5.50E+00
40,5.58E+00
40,5.67E+00
40,5.75E+00
50,5.83E+00
