Appliances,Temperature_outside_celsius,Pressure_outside_mm_hg,Humidity_outside_percent,Windspeed_meters_per_second
60,6.60E+00,733.5,92,7
60,6.48E+00,733.6,92,6.666666667
50,6.37E+00,733.7,92,6.333333333
50,6.25E+00,733.8,92,6
60,6.13E+00,733.9,92,5.666666667
50,6.02E+00,734,92,5.333333333
60,5.90E+00,734.1,92,5
60,5.92E+00,734.1666667,91.83333333,5.166666667
60,5.93E+00,734.2333333,91.66666667,5.333333333
70,5.95E+00,734.3,91.5,5.5
230,5.97E+00,734.3666667,91.33333333,5.666666667
580,5.98E+00,734.4333333,91.16666667,5.833333333
430,6.00E+00,734.5,91,6
250,6.00E+00,734.6166667,90.5,6
100,6.00E+00,734.7333333,90,6
100,6.00E+00,734.85,89.5,6
90,6.00E+00,734.9666667,89,6
70,6.00E+00,735.0833333,88.5,6
80,6.00E+00,735.2,88,6
140,6.00E+00,735.2333333,87.83333333,6
120,6.00E+00,735.2666667,87.66666667,6
190,6.00E+00,735.3,87.5,6
110,6.00E+00,735.3333333,87.33333333,6
110,6.00E+00,735.3666667,87.16666667,6
110,6.00E+00,735.4,87,6
110,5.93E+00,735.4666667,87.16666667,6
100,5.87E+00,735.5333333,87.33333333,6
100,5.80E+00,735.6,87.5,6
100,5.73E+00,735.6666667,87.66666667,6
100,5.67E+00,735.7333333,87.83333333,6
110,5.60E+00,735.8,88,6
400,5.65E+00,735.8833333,87.83333333,6.166666667
400,5.70E+00,735.9666667,87.66666667,6.333333333
390,5.75E+00,736.05,87.5,6.5
240,5.80E+00,736.1333333,87.33333333,6.666666667
60,5.85E+00,736.2166667,87.16666667,6.833333333
60,5.90E+00,736.3,87,7
60,5.80E+00,736.4,87.83333333,6.833333333
50,5.70E+00,736.5,88.66666667,6.666666667
70,5.60E+00,736.6,89.5,6.5
60,5.50E+00,736.7,90.33333333,6.333333333
40,5.40E+00,736.8,91.16666667,6.166666667
40,5.30E+00,736.9,92,6
30,5.27E+00,737,92,6
40,5.23E+00,737.1,92,6
50,5.20E+00,737.2,92,6
310,5.17E+00,737.3,92,6
380,5.13E+00,737.4,92,6
380,5.10E+00,737.5,92,6
370,5.12E+00,737.6333333,92,5.833333333
120,5.13E+00,737.7666667,92,5.666666667
50,5.15E+00,737.9,92,5.5
40,5.17E+00,738.0333333,92,5.333333333
50,5.18E+00,738.1666667,92,5.166666667
40,5.20E+00,738.3,92,5
50,5.13E+00,738.4,92,4.833333333
50,5.07E+00,738.5,92,4.666666667
50,5.00E+00,738.6,92,4.5
40,4.93E+00,738.7,92,4.333333333
40,4.87E+00,738.8,92,4.166666667
30,4.80E+00,738.9,92,4
20,4.82E+00,739.0166667,92.16666667,4.333333333
20,4.83E+00,739.1333333,92.33333333,4.666666667
40,4.85E+00,739.25,92.5,5
50,4.87E+00,739.3666667,92.66666667,5.333333333
50,4.88E+00,739.4833333,92.83333333,5.666666667
40,4.90E+00,739.6,93,6
50,4.92E+00,739.65,92.66666667,5.833333333
40,4.93E+00,739.7,92.33333333,5.666666667
40,4.95E+00,739.75,92,5.5
40,4.97E+00,739.8,91.66666667,5.333333333
60,4.98E+00,739.85,91.33333333,5.166666667
50,5.00E+00,739.9,91,5
50,4.98E+00,739.9666667,91.66666667,4.833333333
40,4.97E+00,740.0333333,92.33333333,4.666666667
40,4.95E+00,740.1,93,4.5
40,4.93E+00,740.1666667,93.66666667,4.333333333
40,4.92E+00,740.2333333,94.33333333,4.166666667
50,4.90E+00,740.3,95,4
